iteration,player,time,idle,letterRequest,letterReply,wordFormed,letterReplyReceived,letterRequestReceived,expAction,expPayload,expPlayerId,null_word,opt_rank,exp_rank,null_rank,opt_replies,exp_replies,null_replies,ld_opt_word,ld_exp_word,ld_null_word
0,4,23,0,,,,,,,,,,,,,,,,,,
0,5,23,,,,add,,,3,rad,,radar,,,,,,,,,
0,0,24,0,,,,,s,,,,,,,,,,,,,
0,1,24,,s,,,,,2,s,0,,1,1,3,,,,,,
0,2,24,0,,,,,,,,,,,,,,,,,,
0,3,24,0,,,,,,,,,,,,,,,,,,
0,4,24,0,,,,,,,,,,,,,,,,,,
0,5,24,0,,,,,,,,,,,,,,,,,,
0,0,25,0,,,,,,,,,,,,,,,,,,
0,1,25,0,,,,,,,,,,,,,,,,,,
0,2,25,0,,,,,,,,,,,,,,,,,,
0,3,25,0,,,,,,,,,,,,,,,,,,
0,4,25,0,,,,,,,,,,,,,,,,,,
0,5,25,0,,,,,,,,,,,,,,,,,,
0,0,26,0,,,,,,,,,,,,,,,,,,
0,1,26,0,,,,,,,,,,,,,,,,,,
0,2,26,0,,,,,,,,,,,,,,,,,,
0,3,26,0,,,,,,,,,,,,,,,,,,
0,4,26,0,,,,,,,,,,,,,,,,,,
0,5,26,0,,,,,,,,,,,,,,,,,,
0,0,27,0,,,,,,,,,,,,,,,,,,
0,1,27,0,,,,,,,,,,,,,,,,,,
0,2,27,0,,,,,,,,,,,,,,,,,,
0,3,27,0,,,,,,,,,,,,,,,,,,
0,4,27,0,,,,,,,,,,,,,,,,,,
0,5,27,0,,,,,,,,,,,,,,,,,,
0,0,28,0,,,,,,,,,,,,,,,,,,
0,1,28,0,,,,,,,,,,,,,,,,,,
0,2,28,0,,,,,,,,,,,,,,,,,,
0,3,28,0,,,,,,,,,,,,,,,,,,
0,4,28,0,,,,,,,,,,,,,,,,,,
0,5,28,0,,,,,,,,,,,,,,,,,,
0,0,29,0,,,,,,,,,,,,,,,,,,
0,1,29,0,,,,,,,,,,,,,,,,,,
0,2,29,0,,,,,,,,,,,,,,,,,,
0,3,29,0,,,,,,,,,,,,,,,,,,
0,4,29,0,,,,,,,,,,,,,,,,,,
0,5,29,0,,,,,,,,,,,,,,,,,,
0,0,30,0,,,,,,,,,,,,,,,,,,
0,1,30,0,,,,,,,,,,,,,,,,,,
0,2,30,0,,,,,,,,,,,,,,,,,,
0,3,30,0,,,,,,,,,,,,,,,,,,
0,4,30,0,,,,,,,,,,,,,,,,,,
0,5,30,0,,,,,,,,,,,,,,,,,,
0,0,31,0,,,,,w,,,,,,,,,,,,,
0,1,31,0,,,,,,,,,,,,,,,,,,
0,2,31,0,,,,,,,,,,,,,,,,,,
0,3,31,0,,,,,,,,,,,,,,,,,,
0,4,31,0,,,,,,,,,,,,,,,,,,
0,5,31,,w,,,,,2,w,0,,2,1,1,,,,,,
0,0,32,0,,,,,,,,,,,,,,,,,,
0,1,32,0,,,,,,,,,,,,,,,,,,
0,2,32,0,,,,,,,,,,,,,,,,,,
0,3,32,0,,,,,,,,,,,,,,,,,,
0,4,32,0,,,,,,,,,,,,,,,,,,
0,5,32,0,,,,,,,,,,,,,,,,,,
0,0,33,0,,,,,,,,,,,,,,,,,,
0,1,33,0,,,,,,,,,,,,,,,,,,
0,2,33,0,,,,,,,,,,,,,,,,,,
0,3,33,0,,,,,,,,,,,,,,,,,,
0,4,33,0,,,,,,,,,,,,,,,,,,
0,5,33,0,,,,,,,,,,,,,,,,,,
0,0,34,0,,,,,,,,,,,,,,,,,,
0,1,34,0,,,,,,,,,,,,,,,,,,
0,2,34,0,,,,,,,,,,,,,,,,,,
0,3,34,0,,,,,,,,,,,,,,,,,,
0,4,34,0,,,,,,,,,,,,,,,,,,
0,5,34,0,,,,,,,,,,,,,,,,,,
0,0,35,0,,,,,,,,,,,,,,,,,,
0,1,35,0,,,,,,,,,,,,,,,,,,
0,2,35,,l,,,,,2,l,3,,1,1,2,,,,,,
0,3,35,0,,,,,l,,,,,,,,,,,,,
0,4,35,0,,,,,,,,,,,,,,,,,,
0,5,35,0,,,,,,,,,,,,,,,,,,
0,0,36,0,,,,,,,,,,,,,,,,,,
0,1,36,0,,,,,,,,,,,,,,,,,,
0,2,36,0,,,,,,,,,,,,,,,,,,
0,3,36,0,,,,,,,,,,,,,,,,,,
0,4,36,0,,,,,,,,,,,,,,,,,,
0,5,36,0,,,,,,,,,,,,,,,,,,
0,0,37,0,,,,,,,,,,,,,,,,,,
0,1,37,0,,,,,,,,,,,,,,,,,,
0,2,37,0,,,,,,,,,,,,,,,,,,
0,3,37,0,,,,,,,,,,,,,,,,,,
0,4,37,0,,,,,,,,,,,,,,,,,,
0,5,37,0,,,,,,,,,,,,,,,,,,
0,0,38,0,,,,,,,,,,,,,,,,,,
0,1,38,0,,,,,,,,,,,,,,,,,,
0,2,38,0,,,,,,2,e,1,,,,,,,,,,
0,3,38,0,,,,,,,,,,,,,,,,,,
0,4,38,0,,,,,,,,,,,,,,,,,,
0,5,38,0,,,,,,,,,,,,,,,,,,
0,0,39,0,,,,,,,,,,,,,,,,,,
0,1,39,0,,,,,,,,,,,,,,,,,,
0,2,39,0,,,,,,,,,,,,,,,,,,
0,3,39,0,,,,,,,,,,,,,,,,,,
0,4,39,0,,,,,,,,,,,,,,,,,,
0,5,39,0,,,,,,,,,,,,,,,,,,
0,0,40,0,,,,,,,,,,,,,,,,,,
0,1,40,0,,,,,,,,,,,,,,,,,,
0,2,40,0,,,,,,,,,,,,,,,,,,
0,3,40,0,,,,,,,,,,,,,,,,,,
0,4,40,0,,,,,,,,,,,,,,,,,,
0,5,40,0,,,,,,,,,,,,,,,,,,
0,0,41,0,,,,,,,,,,,,,,,,,,
0,1,41,0,,,,,,,,,,,,,,,,,,
0,2,41,0,,,,,,,,,,,,,,,,,,
0,3,41,0,,,,,,,,,,,,,,,,,,
0,4,41,0,,,,,,,,,,,,,,,,,,
0,5,41,0,,,,,,,,,,,,,,,,,,
0,0,42,0,,,,,,,,,,,,,,,,,,
0,1,42,0,,,,,,,,,,,,,,,,,,
0,2,42,0,,,,,,,,,,,,,,,,,,
0,3,42,0,,,,,,,,,,,,,,,,,,
0,4,42,0,,,,,,,,,,,,,,,,,,
0,5,42,0,,,,,,,,,,,,,,,,,,
0,0,43,0,,,,,,,,,,,,,,,,,,
0,1,43,0,,,,,,,,,,,,,,,,,,
0,2,43,0,,,,,,,,,,,,,,,,,,
0,3,43,0,,,,,,,,,,,,,,,,,,
0,4,43,0,,,,,,,,,,,,,,,,,,
0,5,43,0,,,,,,,,,,,,,,,,,,
0,0,44,0,,,,,,,,,,,,,,,,,,
0,1,44,0,,,,,,,,,,,,,,,,,,
0,2,44,0,,,,,,,,,,,,,,,,,,
0,3,44,0,,,,,,,,,,,,,,,,,,
0,4,44,0,,,,,,,,,,,,,,,,,,
0,5,44,0,,,,,,,,,,,,,,,,,,
0,0,45,0,,,,,,,,,,,,,,,,,,
0,1,45,0,,,,,,,,,,,,,,,,,,
0,2,45,0,,,,,,,,,,,,,,,,,,
0,3,45,0,,,,,,,,,,,,,,,,,,
0,4,45,0,,,,,,,,,,,,,,,,,,
0,5,45,0,,,,,,,,,,,,,,,,,,
0,0,46,0,,,,,,,,,,,,,,,,,,
0,1,46,0,,,,,,,,,,,,,,,,,,
0,2,46,0,,,,,,,,,,,,,,,,,,
0,3,46,0,,,,,,,,,,,,,,,,,,
0,4,46,0,,,,,,,,,,,,,,,,,,
0,5,46,0,,,,,,,,,,,,,,,,,,
0,0,47,0,,,,,,,,,,,,,,,,,,
0,1,47,0,,,,,,,,,,,,,,,,,,
0,2,47,0,,,,,,,,,,,,,,,,,,
0,3,47,0,,,,,,,,,,,,,,,,,,
0,4,47,0,,,,,,,,,,,,,,,,,,
0,5,47,0,,,,,,,,,,,,,,,,,,
0,0,48,0,,,,,,,,,,,,,,,,,,
0,1,48,0,,,,,,,,,,,,,,,,,,
0,2,48,0,,,,,,,,,,,,,,,,,,
0,3,48,0,,,,,,,,,,,,,,,,,,
0,4,48,0,,,,,,,,,,,,,,,,,,
0,5,48,0,,,,,,,,,,,,,,,,,,
0,0,49,0,,,,,,,,,,,,,,,,,,
0,1,49,0,,,,,,,,,,,,,,,,,,
0,2,49,0,,,,,,,,,,,,,,,,,,
0,3,49,0,,,,,,,,,,,,,,,,,,
0,4,49,0,,,,,,,,,,,,,,,,,,
0,5,49,0,,,,,,,,,,,,,,,,,,
0,0,50,0,,,,,,,,,,,,,,,,,,
0,1,50,0,,,,,,,,,,,,,,,,,,
0,2,50,0,,,,,,,,,,,,,,,,,,
0,3,50,0,,,,,,,,,,,,,,,,,,
0,4,50,,a,,,,,2,a,5,,1,1,6,,,,,,
0,5,50,0,,,,,a,,,,,,,,,,,,,
0,0,51,0,,,,,,,,,,,,,,,,,,
0,1,51,0,,,,,,,,,,,,,,,,,,
0,2,51,0,,,,,,,,,,,,,,,,,,
0,3,51,0,,,,,,,,,,,,,,,,,,
0,4,51,0,,,,,,,,,,,,,,,,,,
0,5,51,0,,,,,,,,,,,,,,,,,,
0,0,52,0,,,,,,,,,,,,,,,,,,
0,1,52,0,,,,,,,,,,,,,,,,,,
0,2,52,0,,,,,,,,,,,,,,,,,,
0,3,52,0,,,,,,,,,,,,,,,,,,
0,4,52,0,,,,,,,,,,,,,,,,,,
0,5,52,0,,,,,,,,,,,,,,,,,,
0,0,53,0,,,,,,,,,,,,,,,,,,
0,1,53,0,,,,,,,,,,,,,,,,,,
0,2,53,0,,,,,,,,,,,,,,,,,,
0,3,53,0,,,,,,,,,,,,,,,,,,
0,4,53,0,,,,,,,,,,,,,,,,,,
0,5,53,0,,,,,,,,,,,,,,,,,,
0,0,54,0,,,,,,,,,,,,,,,,,,
0,1,54,0,,,,,,,,,,,,,,,,,,
0,2,54,0,,,,,,,,,,,,,,,,,,
0,3,54,0,,,,,,,,,,,,,,,,,,
0,4,54,,r,,,,h,2,r,5,,1,3,1,,,,,,
0,5,54,,h,,,,r,2,h,4,,1,3,4,,,,,,
0,0,55,0,,,,,,,,,,,,,,,,,,
0,1,55,0,,,,,,,,,,,,,,,,,,
0,2,55,0,,,,,,,,,,,,,,,,,,
0,3,55,0,,,,,,,,,,,,,,,,,,
0,4,55,0,,,,,,,,,,,,,,,,,,
0,5,55,0,,,,,,,,,,,,,,,,,,
0,0,56,0,,,,,,,,,,,,,,,,,,
0,1,56,0,,,,,,,,,,,,,,,,,,
0,2,56,0,,,,,,,,,,,,,,,,,,
0,3,56,0,,,,,,,,,,,,,,,,,,
0,4,56,0,,,,,,,,,,,,,,,,,,
0,5,56,0,,,,,,,,,,,,,,,,,,
0,0,57,0,,,,,,,,,,,,,,,,,,
0,1,57,0,,,,,,,,,,,,,,,,,,
0,2,57,0,,,,,,,,,,,,,,,,,,
0,3,57,0,,,,,,,,,,,,,,,,,,
0,4,57,0,,,,,,,,,,,,,,,,,,
0,5,57,0,,,,,,,,,,,,,,,,,,
0,0,58,0,,,,,,,,,,,,,,,,,,
0,1,58,0,,,,,,,,,,,,,,,,,,
0,2,58,0,,,,,,,,,,,,,,,,,,
0,3,58,0,,,,,,,,,,,,,,,,,,
0,4,58,0,,,,,,,,,,,,,,,,,,
0,5,58,0,,,,,,,,,,,,,,,,,,
0,0,59,0,,,,,,,,,,,,,,,,,,
0,1,59,0,,,,,,,,,,,,,,,,,,
0,2,59,0,,,,,,,,,,,,,,,,,,
0,3,59,0,,,,,,,,,,,,,,,,,,
0,4,59,0,,,,r,,,,,,,,,,,,,,
0,5,59,,,r,,,,,,,,,,,2,2,2,,,
0,0,60,0,,,,,,,,,,,,,,,,,,
0,1,60,0,,,,,,,,,,,,,,,,,,
0,2,60,0,,,,,,,,,,,,,,,,,,
0,3,60,0,,,,,,,,,,,,,,,,,,
0,4,60,0,,,,,,,,,,,,,,,,,,
0,5,60,0,,,,,,,,,,,,,,,,,,
0,0,61,0,,,,,,,,,,,,,,,,,,
0,1,61,0,,,,,,2,i,2,,,,,,,,,,
0,2,61,0,,,,,,,,,,,,,,,,,,
0,3,61,0,,,,,,,,,,,,,,,,,,
0,4,61,0,,,,,,,,,,,,,,,,,,
0,5,61,0,,,,,,,,,,,,,,,,,,
0,0,62,0,,,,,,,,,,,,,,,,,,
0,1,62,0,,,,,,,,,,,,,,,,,,
0,2,62,0,,,,,,,,,,,,,,,,,,
0,3,62,0,,,,,,,,,,,,,,,,,,
0,4,62,0,,,,,,,,,,,,,,,,,,
0,5,62,0,,,,,,,,,,,,,,,,,,
0,0,63,0,,,,,,,,,,,,,,,,,,
0,1,63,0,,,,,,,,,,,,,,,,,,
0,2,63,0,,,,,,,,,,,,,,,,,,
0,3,63,0,,,,,,,,,,,,,,,,,,
0,4,63,,,,car,,,3,car,,bar,,,,,,,,,
0,5,63,0,,,,,,,,,,,,,,,,,,
0,0,64,0,,,,,,,,,,,,,,,,,,
0,1,64,0,,,,,,,,,,,,,,,,,,
0,2,64,0,,,,,,,,,,,,,,,,,,
0,3,64,0,,,,,,,,,,,,,,,,,,
0,4,64,0,,,,,,,,,,,,,,,,,,
0,5,64,0,,,,,,,,,,,,,,,,,,
0,0,65,0,,,,,,,,,,,,,,,,,,
0,1,65,0,,,,,,,,,,,,,,,,,,
0,2,65,0,,,,,,,,,,,,,,,,,,
0,3,65,0,,,,,,,,,,,,,,,,,,
0,4,65,0,,,,,,,,,,,,,,,,,,
0,5,65,0,,,,,,,,,,,,,,,,,,
0,0,66,0,,,,,,,,,,,,,,,,,,
0,1,66,0,,,,,,,,,,,,,,,,,,
0,2,66,0,,,,,,,,,,,,,,,,,,
0,3,66,0,,,,,,,,,,,,,,,,,,
0,4,66,0,,,,,,,,,,,,,,,,,,
0,5,66,0,,,,,,,,,,,,,,,,,,
0,0,67,0,,,,,,,,,,,,,,,,,,
0,1,67,0,,,,,,,,,,,,,,,,,,
0,2,67,0,,,,,,,,,,,,,,,,,,
0,3,67,0,,,,,,,,,,,,,,,,,,
0,4,67,0,,,,,,,,,,,,,,,,,,
0,5,67,0,,,,,,,,,,,,,,,,,,
0,0,68,0,,,,,,,,,,,,,,,,,,
0,1,68,0,,,,,,,,,,,,,,,,,,
0,2,68,0,,,,,,,,,,,,,,,,,,
0,3,68,0,,,,,,,,,,,,,,,,,,
0,4,68,0,,,,,,,,,,,,,,,,,,
0,5,68,0,,,,,,,,,,,,,,,,,,
0,0,69,0,,,,,,,,,,,,,,,,,,
0,1,69,0,,,,,,,,,,,,,,,,,,
0,2,69,0,,,,,,,,,,,,,,,,,,
0,3,69,0,,,,,,,,,,,,,,,,,,
0,4,69,0,,,,,,,,,,,,,,,,,,
0,5,69,0,,,,,,,,,,,,,,,,,,
0,0,70,0,,,,,,,,,,,,,,,,,,
0,1,70,0,,,,,,,,,,,,,,,,,,
0,2,70,0,,,,,,,,,,,,,,,,,,
0,3,70,0,,,,,,,,,,,,,,,,,,
0,4,70,0,,,,,,,,,,,,,,,,,,
0,5,70,0,,,,,,,,,,,,,,,,,,
0,0,71,0,,,,,,,,,,,,,,,,,,
0,1,71,0,,,,,,,,,,,,,,,,,,
0,2,71,0,,,,,,,,,,,,,,,,,,
0,3,71,0,,,,,,,,,,,,,,,,,,
0,4,71,0,,,,,,,,,,,,,,,,,,
0,5,71,0,,,,,,,,,,,,,,,,,,
0,0,72,0,,,,,,,,,,,,,,,,,,
0,1,72,0,,,,,,,,,,,,,,,,,,
0,2,72,0,,,,,,,,,,,,,,,,,,
0,3,72,0,,,,,,,,,,,,,,,,,,
0,4,72,,,,bar,,,3,bar,,bar,,,,,,,1,1,1
0,5,72,0,,,,,,,,,,,,,,,,,,
0,0,73,0,,,,,,,,,,,,,,,,,,
0,1,73,0,,,,,,,,,,,,,,,,,,
0,2,73,0,,,,,,,,,,,,,,,,,,
0,3,73,0,,,,,,,,,,,,,,,,,,
0,4,73,0,,,,,c,,,,,,,,,,,,,
0,5,73,,c,,,,,2,c,4,,1,2,1,,,,,,
0,0,74,0,,,,,,,,,,,,,,,,,,
0,1,74,0,,,,,,,,,,,,,,,,,,
0,2,74,0,,,,,,,,,,,,,,,,,,
0,3,74,0,,,,,,3,clu,,,,,,,,,,,
0,4,74,,,c,,,,,,,,,,,2,2,2,,,
0,5,74,0,,,,c,,,,,,,,,,,,,,
0,0,75,0,,,,,,,,,,,,,,,,,,
0,1,75,0,,,,,,,,,,,,,,,,,,
0,2,75,0,,,,,,,,,,,,,,,,,,
0,3,75,0,,,,,,,,,,,,,,,,,,
0,4,75,0,,,,,,,,,,,,,,,,,,
0,5,75,0,,,,,,,,,,,,,,,,,,
0,0,76,0,,,,,,,,,,,,,,,,,,
0,1,76,0,,,,,,,,,,,,,,,,,,
0,2,76,0,,,,,,,,,,,,,,,,,,
0,3,76,0,,,,,,,,,,,,,,,,,,
0,4,76,0,,,,,,,,,,,,,,,,,,
0,5,76,0,,,,,,,,,,,,,,,,,,
0,0,77,0,,,,,,,,,,,,,,,,,,
0,1,77,0,,,,,,,,,,,,,,,,,,
0,2,77,0,,,,,,,,,,,,,,,,,,
0,3,77,0,,,,,,,,,,,,,,,,,,
0,4,77,0,,,,,,,,,,,,,,,,,,
0,5,77,0,,,,,,,,,,,,,,,,,,
0,0,78,0,,,,,,,,,,,,,,,,,,
0,1,78,0,,,,,,,,,,,,,,,,,,
0,2,78,0,,,,,,,,,,,,,,,,,,
0,3,78,0,,,,,,,,,,,,,,,,,,
0,4,78,0,,,,,,,,,,,,,,,,,,
0,5,78,0,,,,,,,,,,,,,,,,,,
0,0,79,0,,,,,,,,,,,,,,,,,,
0,1,79,0,,,,,,,,,,,,,,,,,,
0,2,79,0,,,,,,2,c,3,,,,,,,,,,
0,3,79,0,,,,,,,,,,,,,,,,,,
0,4,79,0,,,,,,,,,,,,,,,,,,
0,5,79,0,,,,,,,,,,,,,,,,,,
0,0,80,0,,,,,,,,,,,,,,,,,,
0,1,80,0,,,,,,,,,,,,,,,,,,
0,2,80,0,,,,,,,,,,,,,,,,,,
0,3,80,0,,,,,,,,,,,,,,,,,,
0,4,80,0,,,,,,,,,,,,,,,,,,
0,5,80,0,,,,,,,,,,,,,,,,,,
0,0,81,0,,,,,,,,,,,,,,,,,,
0,1,81,0,,,,,,,,,,,,,,,,,,
0,2,81,0,,,,,,,,,,,,,,,,,,
0,3,81,0,,,,,,,,,,,,,,,,,,
0,4,81,0,,,,,,,,,,,,,,,,,,
0,5,81,0,,,,,,,,,,,,,,,,,,
0,0,82,0,,,,,,,,,,,,,,,,,,
0,1,82,0,,,,,,,,,,,,,,,,,,
0,2,82,0,,,,,,,,,,,,,,,,,,
0,3,82,0,,,,,,,,,,,,,,,,,,
0,4,82,0,,,,,,,,,,,,,,,,,,
0,5,82,0,,,,,,,,,,,,,,,,,,
0,0,83,0,,,,,,,,,,,,,,,,,,
0,1,83,0,,,,,,,,,,,,,,,,,,
0,2,83,0,,,,,,2,u,1,,,,,,,,,,
0,3,83,0,,,,,,,,,,,,,,,,,,
0,4,83,0,,,,,,,,,,,,,,,,,,
0,5,83,0,,,,,,,,,,,,,,,,,,
0,0,84,0,,,,,,,,,,,,,,,,,,
0,1,84,0,,,,,,,,,,,,,,,,,,
0,2,84,0,,,,,,,,,,,,,,,,,,
0,3,84,0,,,,,,,,,,,,,,,,,,
0,4,84,0,,,,,,,,,,,,,,,,,,
0,5,84,,,,car,,,3,hard,,hard,,,,,,,2,2,2
0,0,85,0,,,,,,,,,,,,,,,,,,
0,1,85,0,,,,,,,,,,,,,,,,,,
0,2,85,0,,,,,,,,,,,,,,,,,,
0,3,85,0,,,,,,,,,,,,,,,,,,
0,4,85,0,,,,,,,,,,,,,,,,,,
0,5,85,0,,,,,,,,,,,,,,,,,,
0,0,86,0,,,,,,,,,,,,,,,,,,
0,1,86,0,,,,,,,,,,,,,,,,,,
0,2,86,0,,,,,,,,,,,,,,,,,,
0,3,86,0,,,,,,3,luc,,,,,,,,,,,
0,4,86,0,,,,,,,,,,,,,,,,,,
0,5,86,0,,,,,,,,,,,,,,,,,,
0,0,87,0,,,,,,,,,,,,,,,,,,
0,1,87,0,,,,,,,,,,,,,,,,,,
